"2159-04-06", "RJS29", "BOH", "HOU", "landed" 
"2159-02-21", "APH36", "TAS", "FAI", "unknown" 
"2159-09-14", "MJ29", "SDF", "TNR", "cancelled" 
"2159-07-26", "PTQ75", "PPT", "LTX", "unknown" 
"2159-03-07", "AVZ22", "MHT", "BWI", "cancelled" 
"2159-04-07", "ATQ46", "CKG", "JLN", "landed" 
"2159-10-08", "WAC32", "ORY", "CHC", "cancelled" 
"2159-06-25", "BEQ23", "CRK", "MBS", "scheduled" 
"2159-01-28", "RWG11", "GCLA", "GYD", "scheduled" 
"2159-03-10", "FDA31", "CRP", "TUL", "scheduled" 
"2159-05-06", "BMT32", "TUL", "SHO", "active" 
"2159-11-03", "JCM26", "ATQ", "DWC", "active" 
"2159-02-04", "ASN10", "SZX", "CNX", "active" 
"2159-11-06", "MAE28", "DJJ", "LJU", "scheduled" 
"2159-04-08", "IKQ24", "ROV", "TXL", "cancelled" 
"2159-10-14", "BM20", "BLR", "CDG", "cancelled" 
"2159-05-21", "SUT11", "KRK", "YYT", "cancelled" 
"2159-04-25", "RG16", "DAC", "AMM", "scheduled" 
"2159-12-04", "WS15", "SYZ", "OVB", "scheduled" 
"2159-10-16", "TV30", "GYD", "KBP", "scheduled" 
"2159-10-28", "PDA14", "SAL", "DUB", "cancelled" 
"2159-01-13", "KIN18", "BGO", "WDH", "active" 
"2159-05-20", "FRA19", "LGA", "ISE", "landed" 
"2159-03-04", "MUA18", "CAE", "MHT", "cancelled" 
"2159-11-20", "ENT24", "PUJ", "DHA", "cancelled" 
"2159-11-07", "SJA11", "FLL", "PPT", "scheduled" 
"2159-12-18", "ASD25", "LED", "ESB", "landed" 
"2159-11-09", "ED55", "BRS", "LOS", "landed" 
"2159-08-08", "AZP12", "KEF", "KRT", "scheduled" 
"2159-07-24", "WS24", "ORD", "DNA", "scheduled" 
"2159-01-03", "GHA11", "BOG", "BOG", "scheduled" 
"2159-06-28", "PET80", "CTU", "BSL", "landed" 
"2159-04-17", "SWT29", "HRK", "NKG", "cancelled" 
"2159-05-18", "CMD20", "PVR", "TCM", "unknown" 
"2159-10-10", "WV47", "TIK", "CNX", "active" 
"2159-08-27", "UYQ24", "TOS", "FAI", "cancelled" 
"2159-05-13", "MS24", "LTN", "ADL", "active" 
"2159-03-19", "VAS17", "HNL", "KIX", "active" 
"2159-01-01", "SHV41", "MED", "LTN", "unknown" 
"2159-07-08", "XV26", "LLA", "GCM", "landed" 
"2159-04-07", "WGQ20", "KWI", "ALP", "scheduled" 
"2159-04-27", "REA26", "MCI", "KHH", "unknown" 
"2159-10-11", "AZ44", "GZT", "KRT", "active" 
"2159-07-06", "JB10", "PHF", "SDQ", "unknown" 
"2159-01-15", "KS21", "CLT", "CMN", "active" 
"2159-09-18", "CNN11", "BAH", "NCE", "landed" 
"2159-02-06", "RAY11", "KRK", "TIK", "scheduled" 
"2159-06-07", "HX26", "UIO", "ABQ", "scheduled" 
"2159-03-18", "WWI84", "BLR", "LUF", "cancelled" 
"2159-05-01", "TRQ14", "NNG", "CNF", "landed" 
"2159-09-05", "PPQ16", "MOB", "SVO", "cancelled" 
"2159-01-12", "GWA17", "ONT", "FAI", "cancelled" 
"2159-09-08", "LAN26", "PWM", "LGW", "cancelled" 
"2159-04-02", "APS24", "LEJ", "SRQ", "active" 
"2159-02-19", "VIS12", "KAN", "EMA", "unknown" 
"2159-04-19", "G386", "CTA", "GBE", "landed" 
"2159-08-01", "ATT13", "MSP", "ICT", "active" 
"2159-12-12", "ZAQ22", "VRA", "GRU", "unknown" 
"2159-03-22", "VS21", "SDQ", "BWI", "scheduled" 
"2159-01-05", "PNM13", "JFK", "BHD", "scheduled" 
"2159-09-05", "AY17", "FKB", "MHD", "scheduled" 
"2159-12-21", "HAR29", "MEX", "DUS", "active" 
"2159-08-25", "MUA24", "MMX", "WMI", "scheduled" 
"2159-12-07", "MY81", "RIC", "VCE", "active" 
"2159-12-10", "COT26", "DUR", "TIP", "unknown" 
"2159-10-02", "FNQ16", "KOJ", "ADW", "active" 
"2159-07-15", "HX27", "SZX", "ORD", "landed" 
"2159-11-21", "WRA13", "MAA", "TRN", "unknown" 
"2159-03-18", "V518", "MTY", "VIE", "active" 
"2159-08-27", "EXQ91", "VNO", "ROB", "cancelled" 
"2159-09-04", "SFQ19", "ABV", "SXM", "unknown" 
"2159-09-20", "NWQ64", "ORK", "BGW", "landed" 
"2159-10-28", "TUL54", "SKA", "OVB", "cancelled" 
"2159-07-01", "ORI82", "FLL", "GBE", "unknown" 
"2159-04-02", "SEB41", "BOO", "SXF", "scheduled" 
"2159-02-08", "WIR29", "EIN", "EMA", "cancelled" 
"2159-04-26", "EV93", "OSN", "MEX", "scheduled" 
"2159-06-07", "SCN16", "SYZ", "CUZ", "scheduled" 
"2159-02-06", "SKM13", "VCE", "DBQ", "cancelled" 
"2159-11-04", "LX97", "GSB", "GUA", "active" 
"2159-07-06", "WP19", "SCQ", "FFO", "landed" 
"2159-01-09", "DQQ72", "CAI", "DMM", "unknown" 
"2159-06-13", "CRH24", "GYD", "CJU", "scheduled" 
"2159-11-17", "ITQ49", "BGW", "CWL", "unknown" 
"2159-01-21", "GS16", "LLA", "BRS", "landed" 
"2159-02-05", "PIA88", "SUB", "GDL", "scheduled" 
"2159-05-28", "SKI15", "ABQ", "JUB", "scheduled" 
"2159-12-05", "MX32", "MEX", "CBR", "landed" 
"2159-09-28", "FX13", "MBS", "LTN", "active" 
"2159-04-26", "FDQ21", "BKO", "ZNZ", "scheduled" 
"2159-06-08", "LB28", "IAD", "SDF", "cancelled" 
"2159-07-16", "CI15", "PDX", "PVR", "cancelled" 
"2159-01-16", "PS12", "SXF", "BEY", "cancelled" 
"2159-08-12", "UT71", "OMA", "OKO", "scheduled" 
"2159-03-06", "YB11", "CGK", "OMA", "landed" 
"2159-10-27", "AVL17", "MUO", "TLS", "scheduled" 
"2159-03-17", "OH26", "KRT", "TSF", "cancelled" 
"2159-12-09", "VV15", "GRB", "NKG", "unknown" 
"2159-11-21", "O625", "LUX", "GCM", "landed" 
"2159-10-12", "JAQ69", "CHC", "ASB", "scheduled" 
"2159-07-23", "U239", "MFM", "ALP", "landed" 
"2159-12-04", "XY14", "KHV", "BOH", "cancelled" 
"2159-07-10", "XAG23", "SJU", "CGY", "scheduled" 
"2159-03-20", "BIQ66", "SVX", "BRS", "unknown" 
"2159-10-09", "SKI18", "SKT", "SPI", "cancelled" 
"2159-02-01", "YBQ46", "CWB", "DMM", "active" 
"2159-08-16", "L336", "MDL", "SZL", "unknown" 
"2159-05-26", "MS26", "KGF", "CMB", "cancelled" 
"2159-04-18", "TCI30", "KMG", "HMN", "scheduled" 
"2159-03-28", "NEB13", "BCN", "NBO", "landed" 
"2159-02-27", "FWA26", "DSM", "MMX", "cancelled" 
"2159-11-12", "RO19", "MRU", "AKL", "unknown" 
"2159-05-11", "DXA80", "FFO", "CRP", "landed" 
"2159-10-10", "SRA11", "LOS", "LED", "landed" 
"2159-09-17", "K721", "RNO", "BDL", "landed" 
"2159-02-27", "UC42", "ZNZ", "RIC", "landed" 
"2159-01-13", "BHK56", "DSM", "YUL", "unknown" 
"2159-02-16", "J740", "GRJ", "ICN", "scheduled" 
"2159-03-08", "B629", "BSR", "TPA", "landed" 
"2159-09-09", "PHL32", "SNA", "FOC", "scheduled" 
"2159-01-15", "SDQ30", "FAO", "GMP", "scheduled" 
"2159-01-16", "KQ23", "MEM", "BOG", "unknown" 
"2159-12-23", "SJQ28", "YYZ", "JUB", "cancelled" 
"2159-04-22", "HAR25", "CTA", "ADB", "landed" 
"2159-12-16", "AL25", "ALA", "BJV", "cancelled" 
"2159-03-08", "AIA31", "MAA", "IST", "cancelled" 
"2159-10-24", "AND12", "PVR", "GOA", "landed" 
"2159-11-26", "FAR31", "DTM", "MEX", "scheduled" 
"2159-04-24", "TTM97", "SJD", "LBB", "active" 
"2159-02-04", "SVW26", "BEG", "ULN", "unknown" 
"2159-05-20", "AVZ13", "TZX", "NAP", "scheduled" 
"2159-10-17", "XAU27", "DQM", "IAH", "cancelled" 
"2159-05-27", "KFS17", "OMA", "TYN", "active" 
"2159-03-16", "GSA30", "ISE", "NCL", "active" 
"2159-10-15", "SWA27", "AUS", "MIA", "landed" 
