"2013-04-23", "PKQ20", "VRA", "SYX", "active" 
"2013-07-13", "TER24", "BUF", "AKL", "cancelled" 
"2013-03-09", "SCT25", "OSL", "SOU", "cancelled" 
"2013-06-03", "ORI16", "HIB", "SVX", "scheduled" 
"2013-10-03", "SNC23", "KWL", "DVO", "unknown" 
"2013-10-07", "Y887", "ORK", "TRI", "scheduled" 
"2013-09-27", "GLW12", "TXL", "AKT", "active" 
"2013-05-06", "PR22", "SYZ", "DEL", "cancelled" 
"2013-06-02", "WAI94", "LIM", "JNB", "scheduled" 
"2013-12-04", "MF90", "MSY", "ZAG", "unknown" 
"2013-12-02", "TRA19", "JED", "TUN", "active" 
"2013-03-17", "BUH12", "LYS", "DAL", "active" 
"2013-02-27", "PN24", "DUB", "ATQ", "unknown" 
"2013-11-23", "DY32", "BLV", "RJTT", "landed" 
"2013-12-08", "ATQ30", "LGW", "TYS", "landed" 
"2013-11-19", "CZQ27", "IKA", "ORY", "unknown" 
"2013-03-15", "WIA10", "GMP", "NKG", "unknown" 
"2013-03-19", "BXQ72", "ROA", "GRV", "scheduled" 
"2013-06-22", "TWA24", "ORD", "IND", "cancelled" 
"2013-05-03", "XAA31", "HRG", "JNB", "landed" 
"2013-12-16", "UX17", "PWM", "BOG", "scheduled" 
"2013-08-04", "ERO14", "MSY", "SAW", "scheduled" 
"2013-08-25", "SPQ94", "PHL", "LIS", "active" 
"2013-10-01", "AIM21", "BAH", "TOS", "active" 
"2013-04-22", "IG19", "DAB", "YVR", "active" 
"2013-01-06", "TVL17", "MUO", "JFK", "active" 
"2013-07-23", "NUQ30", "HRI", "VVI", "landed" 
"2013-12-02", "FSA16", "CPH", "ALA", "unknown" 
"2013-12-15", "DC16", "TSF", "KAN", "active" 
"2013-05-24", "GA78", "IKA", "ODS", "landed" 
"2013-11-19", "AWQ29", "VCE", "MAA", "landed" 
"2013-10-28", "E7231", "GYD", "BOM", "cancelled" 
"2013-07-05", "ISL17", "CMH", "TIK", "landed" 
"2013-02-18", "DHQ17", "SYD", "GPT", "cancelled" 
"2013-06-18", "BIR31", "SUX", "CMN", "scheduled" 
"2013-09-20", "JL24", "FNA", "PRN", "landed" 
"2013-01-22", "AX25", "MLA", "ZNZ", "unknown" 
"2013-06-25", "HAQ18", "HOU", "UPG", "scheduled" 
"2013-04-18", "BHK60", "CGN", "SHO", "unknown" 
"2013-08-12", "MDU20", "MLE", "ADB", "unknown" 
"2013-08-04", "TCQ22", "CTS", "CMH", "unknown" 
"2013-12-16", "DQQ58", "WRB", "PMO", "landed" 
"2013-06-20", "EVA35", "ALC", "DAB", "scheduled" 
"2013-12-17", "NC12", "LGG", "SXF", "cancelled" 
"2013-08-10", "TRQ22", "PPT", "BFS", "cancelled" 
"2013-07-07", "EXQ22", "DLM", "END", "landed" 
"2013-05-19", "NUM12", "RIC", "ALA", "landed" 
"2013-12-11", "NH51", "SJC", "MUO", "cancelled" 
"2013-06-18", "SBA24", "SJJ", "GEG", "active" 
"2013-12-08", "MUQ58", "LUN", "GUS", "scheduled" 
"2013-01-09", "C622", "MEL", "MAO", "landed" 
"2013-07-01", "XJ83", "BGW", "DTW", "unknown" 
"2013-01-10", "HEU16", "KBP", "FTW", "cancelled" 
"2013-07-11", "NB10", "ABQ", "GUS", "scheduled" 
"2013-09-01", "OZ23", "BJV", "CGO", "active" 
"2013-09-08", "ANB17", "YYJ", "SAW", "active" 
"2013-07-21", "THQ17", "VPS", "ACC", "landed" 
"2013-06-21", "ALI10", "SMF", "SNA", "cancelled" 
"2013-01-22", "HA16", "HET", "GSB", "landed" 
"2013-06-07", "ALT18", "KRK", "ICN", "unknown" 
"2013-08-12", "SAC14", "CEB", "SJD", "unknown" 
"2013-03-03", "SH11", "BOH", "CGO", "unknown" 
"2013-06-17", "XAF48", "RNO", "SJD", "active" 
"2013-07-22", "PW21", "LIS", "MBS", "active" 
"2013-03-23", "CAT85", "SFB", "TAS", "cancelled" 
"2013-03-17", "ZE69", "MHZ", "ADL", "landed" 
"2013-02-28", "COU25", "GSP", "PIA", "landed" 
"2013-06-06", "LHA28", "FIH", "BWN", "scheduled" 
"2013-02-11", "FRT31", "BSB", "BKO", "active" 
"2013-05-07", "MZ19", "CBM", "KTM", "cancelled" 
"2013-03-15", "HYA26", "SXM", "ESB", "scheduled" 
"2013-06-17", "IDQ20", "MCT", "BKO", "active" 
"2013-02-06", "RWG12", "TUL", "ASB", "active" 
"2013-04-16", "SV26", "MAO", "LXR", "cancelled" 
"2013-02-25", "LSZ14", "STR", "MBA", "active" 
"2013-12-17", "UC90", "PGUM", "NAP", "unknown" 
"2013-04-07", "GSQ29", "SXF", "YNT", "scheduled" 
"2013-11-04", "CTH17", "TSF", "LTX", "unknown" 
"2013-05-20", "WLH18", "YYC", "CRK", "scheduled" 
"2013-05-12", "NN18", "YYT", "MLE", "landed" 
"2013-02-12", "AOI65", "SKA", "OSL", "landed" 
