flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-11-29,scheduled,G56066,CKG,null,ENY,null
2020-11-29,scheduled,CA1258,INC,null,PVG,null
2020-11-29,scheduled,MU3605,CIF,null,TAO,null
2020-11-29,scheduled,RQ102,KBL,null,HEA,null
2020-11-29,scheduled,FG252,KBL,null,HEA,null
2020-11-29,scheduled,S75315,TOF,null,OVB,15
2020-11-29,scheduled,S75351,TJM,null,OVB,15
2020-11-29,scheduled,S78907,JOK,null,OVB,null
2020-11-29,scheduled,TZ320,NOS,null,TNR,null
2020-11-29,scheduled,TZ6822,MJN,null,TNR,null
2020-11-29,scheduled,TZ312,DIE,null,TNR,null
2020-11-29,scheduled,TZ530,SMS,null,TNR,null
2020-11-29,scheduled,TZ712,TLE,null,TNR,null
2020-11-29,scheduled,TK6506,ISL,null,TNR,null
2020-11-29,active,3U2347,CTU,null,SZX,4
2020-11-29,active,CA3703,CTU,null,SZX,4
2020-11-29,active,KY9403,CTU,null,SZX,4
2020-11-29,active,SC9403,CTU,null,SZX,4
2020-11-29,scheduled,CA1384,PEK,null,SZX,null
2020-11-29,scheduled,CZ6336,CGO,null,SZX,null
2020-11-29,scheduled,ZH9133,TYN,null,SZX,null
2020-11-29,scheduled,ZH9903,TNA,null,SZX,null
2020-11-29,scheduled,3U8704,CTU,null,SZX,null
2020-11-29,scheduled,HU7395,HGH,null,SZX,null
2020-11-29,scheduled,CZ6561,CKG,null,SZX,null
2020-11-29,scheduled,CZ3189,PKX,null,SZX,null
2020-11-29,scheduled,FM9334,SHA,null,SZX,null
2020-11-29,scheduled,ZH9847,NKG,null,SZX,null
2020-11-29,scheduled,ZH8419,WXN,null,SZX,null
2020-11-29,scheduled,TV9894,CTU,null,SZX,null
2020-11-29,scheduled,ZH9917,TAO,null,SZX,null
2020-11-29,scheduled,ZH9883,HGH,null,SZX,null
2020-11-29,scheduled,CZ6358,TAO,null,SZX,null
2020-11-29,scheduled,ZH9209,XIY,null,SZX,null
2020-11-29,scheduled,KN5912,PKX,null,SZX,null
2020-11-29,scheduled,CZ3549,SHA,null,SZX,null
2020-11-29,scheduled,CZ8591,HGH,null,SZX,null
2020-11-29,scheduled,ZH9109,PEK,null,SZX,null
2020-11-29,scheduled,HU7663,NKG,null,SZX,null
2020-11-29,scheduled,MU8123,PVG,null,JJN,null
2020-11-29,scheduled,NS8549,PVG,null,JJN,null
2020-11-29,scheduled,MF8549,PVG,null,JJN,null
2020-11-29,scheduled,CA3553,PVG,null,JJN,null
2020-11-29,scheduled,HO5065,PVG,null,JJN,null
2020-11-29,scheduled,KY9613,PVG,null,JJN,null
2020-11-29,scheduled,SC9153,PVG,null,JJN,null
2020-11-29,scheduled,ZH8723,PVG,null,JJN,null
2020-11-29,scheduled,CA3803,TSN,null,JJN,null
2020-11-29,scheduled,KY9257,TSN,null,JJN,null
2020-11-29,scheduled,SC9143,TSN,null,JJN,null
2020-11-29,scheduled,ZH8737,TSN,null,JJN,null
2020-11-29,scheduled,CZ9152,DAX,null,JJN,null
2020-11-29,scheduled,MF5030,DAX,null,JJN,null
2020-11-29,scheduled,G58664,DAX,null,JJN,null
2020-11-29,scheduled,EU7032,DAX,null,JJN,null
2020-11-29,scheduled,3U8256,DAX,null,JJN,null
2020-11-29,scheduled,MF8409,KMG,null,JJN,null
2020-11-29,scheduled,CZ4106,JJN,null,HAK,null
2020-11-29,scheduled,6E6892,BLR,null,BBI,null
2020-11-29,scheduled,NS8144,JJN,null,HAK,null
2020-11-29,scheduled,HA5214,TAK,null,HND,null
2020-11-29,scheduled,EY8681,DME,null,NUX,18
