Baseline,"66,991","1,638","9,342",824,204,"1,989,971"
2,"41,735",0.8,"5,772",511,127,"1,249,562"
3,"40,755",333,"5,573",501,124,"1,224,431"
4,"43,214",0.2,"4,202",528,131,"1,290,303"
5,NA,,,,,
6,"83,120",0.2,"4,536","1,016",253,"2,471,303"
7,"133,312",325,"4,894","1,633",407,"3,963,227"
8,"121,897",0.2,"3,384","1,491",372,"3,631,911"
9,"154,954",4.2,"4,285","1,900",472,"4,606,302"
10,"133,194",336,"5,556","1,632",406,"3,953,952"
11,"128,724",335,"3,838","1,578",392,"3,839,860"
12,"152,165",335,"4,277","1,864",464,"4,533,680"
13,"120,531",0.3,"3,131","1,474",368,"3,595,694"
14,"395,464",332,"1,604","4,830","1,180","11,621,071"
15,"241,842",334,"10,182","2,964",728,"7,157,683"
16,NA,,,,,
17,"564,401",0.1,"25,015","6,857","1,648","16,029,950"
